"Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"He wasn't even holding her hand while she was pushing or nothing he just had the camera on him half the time. He could've just put it down for a sec to be there for his wife, like, you dont have to put EVERYTHING on youtube.","earth.bubbas_","https://yt3.ggpht.com/ytc/AAUvwniVJlAGwbzdQdeaKkI7qKW7Zdd8NCufs9zojjZPvQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC6N8LFmU7znM5faVTvGBxcg","UC6N8LFmU7znM5faVTvGBxcg","0","1","2021-03-02T18:42:48Z","2021-03-02T18:42:48Z","Ugw55BzZwWL18J4UiUZ4AaABAg",NA,"tJvCygyNH4I"
"His wife was literally PUSHING OUT HIS FRIGGIN CHILD and he just had the camera on him. Like-","earth.bubbas_","https://yt3.ggpht.com/ytc/AAUvwniVJlAGwbzdQdeaKkI7qKW7Zdd8NCufs9zojjZPvQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC6N8LFmU7znM5faVTvGBxcg","UC6N8LFmU7znM5faVTvGBxcg","0","1","2021-03-02T18:41:39Z","2021-03-02T18:41:39Z","UgwLjoQwObhd2BLOdNd4AaABAg",NA,"tJvCygyNH4I"
"This video really annoys me.","earth.bubbas_","https://yt3.ggpht.com/ytc/AAUvwniVJlAGwbzdQdeaKkI7qKW7Zdd8NCufs9zojjZPvQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC6N8LFmU7znM5faVTvGBxcg","UC6N8LFmU7znM5faVTvGBxcg","0","1","2021-03-02T18:33:05Z","2021-03-02T18:33:05Z","UgzcM_--uKDlayOVku94AaABAg",NA,"tJvCygyNH4I"
"Doctor- u did it girl


Cathrin- ok 👌🏼","Clayton Family","https://yt3.ggpht.com/ytc/AAUvwnhp56c0PYxCg1w6Idz18i7HkXBNWveci4e05UjN=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCtrVTP85SaTeOwnHsZUblZA","UCtrVTP85SaTeOwnHsZUblZA","0","0","2021-03-02T17:56:27Z","2021-03-02T17:56:27Z","UgyyH3Yt3Zwni0OhSex4AaABAg",NA,"tJvCygyNH4I"
"Why tf would you show the whole damn world that. Get demonetized","pog","https://yt3.ggpht.com/ytc/AAUvwnh27kT4zOjYw_ace0rS8VSxLkZ9cbPIzmvpYxKz=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCc6L-48GaqzYO5s-KzDaxgQ","UCc6L-48GaqzYO5s-KzDaxgQ","0","0","2021-03-02T14:52:26Z","2021-03-02T14:52:26Z","UgwvLE6fOSCL2OAITvF4AaABAg",NA,"tJvCygyNH4I"
"B","Ashley Champney","https://yt3.ggpht.com/ytc/AAUvwnh43gxYBE_Fm3ZJcVDXtqhVKgEk4R-KMfDsWA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCTksh5eT3Apx7Pcl-AJ6Etw","UCTksh5eT3Apx7Pcl-AJ6Etw","2","1","2021-02-26T13:34:57Z","2021-02-26T13:34:57Z","Ugwco7dSbMfggs62TiZ4AaABAg",NA,"tJvCygyNH4I"
"Congratulations to you and your family ❤️❤️","Adrianna Cabrera","https://yt3.ggpht.com/ytc/AAUvwngs8qEJvmbK89HPauV1fLNPQUc_QdabFY7tXg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCBn2o47wgO9u_LR0vpk6ftQ","UCBn2o47wgO9u_LR0vpk6ftQ","0","0","2021-02-25T10:50:33Z","2021-02-25T10:50:33Z","UgxRnm9eZO3Q8imBzQF4AaABAg",NA,"tJvCygyNH4I"
"Boy","Shilah Sanders","https://yt3.ggpht.com/ytc/AAUvwngZhT6y2NfQVkirqNPXX3vPL4uEu3RdnGfWSw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC4A9wNLPgI1DkUQ3g-NZ8_Q","UC4A9wNLPgI1DkUQ3g-NZ8_Q","0","1","2021-02-24T20:41:16Z","2021-02-24T20:41:16Z","Ugw15MecWazOGuHQxE14AaABAg",NA,"tJvCygyNH4I"
"Hello","emilia canales","https://yt3.ggpht.com/ytc/AAUvwngDmW1a4SNx7byWI_z9kAQ_b_yzyxZ2T5CRHA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCiuHxFQ1IOUu4qLAnOiqAtA","UCiuHxFQ1IOUu4qLAnOiqAtA","0","1","2021-02-24T18:57:11Z","2021-02-24T18:57:11Z","Ugy1PmRZNgwEiqW-WAJ4AaABAg",NA,"tJvCygyNH4I"
"nama nya","Ika Muzdaliah","https://yt3.ggpht.com/ytc/AAUvwni8VCEyrxx1iQlHaFLiMpicxTG6qD2g4xDVq7PNAg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC_LxGP-0bbfXRWT_m8RZ2nQ","UC_LxGP-0bbfXRWT_m8RZ2nQ","0","0","2021-02-22T02:15:36Z","2021-02-22T02:15:36Z","UgzTt70a1oE-2qWdojd4AaABAg",NA,"tJvCygyNH4I"
"omggg the sidekick of catherine she said something that they told her that she would have three kids and the youngest would be a boy and that’s true!!!!","Dizongirls Plays Roblox","https://yt3.ggpht.com/ytc/AAUvwnjeUTyy1Y5GE-UXsresxur1jir_Ww6V8O7-mmRY=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCWdsM0yVdP85YJkLtS12fzQ","UCWdsM0yVdP85YJkLtS12fzQ","0","0","2021-02-22T01:15:46Z","2021-02-22T01:15:46Z","Ugz2HCmnMCYI39XmFLV4AaABAg",NA,"tJvCygyNH4I"
"do you wanna deliver the baby?

him looking everywhere but his wife obviously not wanting to do it:👀 👀 👀 will i get scarred? isnt it bloody? i don’t want the girls to feel bad.","nimbus2001","https://yt3.ggpht.com/ytc/AAUvwnhc_9qD8bCnuAEwD-iBnbwtap53nPqfzS7T9cIb=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCedaRUsFKqJbn_aAiTucz2w","UCedaRUsFKqJbn_aAiTucz2w","0","0","2021-02-21T07:05:00Z","2021-02-21T07:05:00Z","Ugw7K-stEsySCfoHwox4AaABAg",NA,"tJvCygyNH4I"
"It's sooo cute😍😍😍","sousou zd9","https://yt3.ggpht.com/ytc/AAUvwniRcjEKFe005K_fxKnuS10wjgWRcOKDNoPBnw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC6dvhj0pRsi6pnoYo89RZ9w","UC6dvhj0pRsi6pnoYo89RZ9w","0","0","2021-02-20T21:17:01Z","2021-02-20T21:17:01Z","UgyIecu-z1tG_mN4UQ94AaABAg",NA,"tJvCygyNH4I"
"So happy my favorite  Catherine  for ever  had","Maria Angela Rodriguez","https://yt3.ggpht.com/ytc/AAUvwni0mwEaJfg68XBtiaK-Rq3lQfl195FXogpNYA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC2oaGRnQr9Mp8_eac4tezeQ","UC2oaGRnQr9Mp8_eac4tezeQ","0","0","2021-02-20T15:05:22Z","2021-02-20T15:05:22Z","Ugzx0jsphYU0O4VMgOx4AaABAg",NA,"tJvCygyNH4I"
"9:27","zahryah little","https://yt3.ggpht.com/ytc/AAUvwngy0YdnEfo1IosQKt0OuBtGbGFSCciKq88NwKT1=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCppaIUUFLctzO0WPjKHYT-g","UCppaIUUFLctzO0WPjKHYT-g","0","0","2021-02-19T20:11:53Z","2021-02-19T20:11:53Z","UgwFL5MD6L401fwMfTR4AaABAg",NA,"tJvCygyNH4I"
"8:48","zahryah little","https://yt3.ggpht.com/ytc/AAUvwngy0YdnEfo1IosQKt0OuBtGbGFSCciKq88NwKT1=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCppaIUUFLctzO0WPjKHYT-g","UCppaIUUFLctzO0WPjKHYT-g","0","0","2021-02-19T20:09:41Z","2021-02-19T20:09:41Z","UgyAuzLhLlXg5tB42SN4AaABAg",NA,"tJvCygyNH4I"
"Awww 🥰","Bethany Tatsey","https://yt3.ggpht.com/ytc/AAUvwnglqAX0CLFg7ds7V-dp96ns847wgXXlDT-HwB7qOA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCXKIEZqATPglrIBPvYHKmDA","UCXKIEZqATPglrIBPvYHKmDA","0","0","2021-02-19T19:44:13Z","2021-02-19T19:44:13Z","UgwwrLl4oX8ZpoC-aEx4AaABAg",NA,"tJvCygyNH4I"
"Good go","Keithrell Allen","https://yt3.ggpht.com/ytc/AAUvwnjI3y01jquxe8xWPhvZUVNemIqBfEq_RfpMgA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCheC4KnIVzUVTq0A6VNdNtQ","UCheC4KnIVzUVTq0A6VNdNtQ","0","0","2021-02-19T06:10:18Z","2021-02-19T06:10:18Z","UgzNAJMlMewXFVmAuWJ4AaABAg",NA,"tJvCygyNH4I"
"this guy is the biggest loser","Ever Green","https://yt3.ggpht.com/ytc/AAUvwng7h3cvpYS2D5g5qiyd3pXSZrH5unDzM7xbtb0b=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCPpCeaWDIqrAUb1u9fyRafQ","UCPpCeaWDIqrAUb1u9fyRafQ","0","0","2021-02-18T18:05:03Z","2021-02-18T18:05:03Z","UgzQ8bmyN0dn3aGKPct4AaABAg",NA,"tJvCygyNH4I"
"الله","Naira Mohsen","https://yt3.ggpht.com/ytc/AAUvwnj5JeWWmHhIF2Rb46am7XeZukRTnOSUse7KJQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCk3rTpw-_wPwcNaeVouy1qA","UCk3rTpw-_wPwcNaeVouy1qA","0","2","2021-02-17T20:58:33Z","2021-02-17T20:58:33Z","UgyagAonZOeE888R9Rx4AaABAg",NA,"tJvCygyNH4I"
"❤️❤️❤️❤️❤️❤️","virdy salcedo","https://yt3.ggpht.com/ytc/AAUvwngQpxADLR-fHKdt4WWsSaY3BI5GzEVabyZPGC-MmA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCiNSxxuSJqdcCqcs8Q0_VMA","UCiNSxxuSJqdcCqcs8Q0_VMA","0","0","2021-02-17T15:32:45Z","2021-02-17T15:32:45Z","UgzHF74lAgDOQqV4fVN4AaABAg",NA,"tJvCygyNH4I"
"JUWEL,,","Juwel Nath jitu","https://yt3.ggpht.com/ytc/AAUvwnivnq3q1dJKhLNUfJUu2QbeA_0mhnC-qDofy1xn=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCx25ax-n-it0N1YeLsbOgWg","UCx25ax-n-it0N1YeLsbOgWg","0","0","2021-02-17T07:27:50Z","2021-02-17T07:27:50Z","UgwExl_r9dHYKkvU86B4AaABAg",NA,"tJvCygyNH4I"
"💙💙💙💙💙💙🔮 Instagram blocked me from commenting for the Tesla so here I am lol","Rainy Unique","https://yt3.ggpht.com/ytc/AAUvwniMliEAMbmM2kv1P9aepEHky3AAsfp8-4xsZN552g=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCIB446qty3mGu-p4im4n88g","UCIB446qty3mGu-p4im4n88g","0","0","2021-02-17T01:49:18Z","2021-02-17T01:49:18Z","UgxHuTGGs9DIgvAZPDl4AaABAg",NA,"tJvCygyNH4I"
"Boy","Genesis Guerrero","https://yt3.ggpht.com/ytc/AAUvwniu2gK04nKnuytwuf34Nm93aIt1eDDHrK85JQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCI2-Um6MPq5sPrf4sPKxSZA","UCI2-Um6MPq5sPrf4sPKxSZA","0","0","2021-02-17T01:02:25Z","2021-02-17T01:02:25Z","UgyZIbSgnXidCijA2S14AaABAg",NA,"tJvCygyNH4I"
"Bpy","Genesis Guerrero","https://yt3.ggpht.com/ytc/AAUvwniu2gK04nKnuytwuf34Nm93aIt1eDDHrK85JQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCI2-Um6MPq5sPrf4sPKxSZA","UCI2-Um6MPq5sPrf4sPKxSZA","0","0","2021-02-17T01:02:17Z","2021-02-17T01:02:17Z","Ugw6Tyv-OGwA_aJu2Uh4AaABAg",NA,"tJvCygyNH4I"
"wait am I the only one seeing this and noicing that the uteround says dolarous mcbroom......","Olivia Craigen","https://yt3.ggpht.com/ytc/AAUvwnjDph54Fi0UEPcCNj2zOsm8_6XO-LtzcXfuJjfE=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCBT--xj4L0g_1QGlkZ83QLA","UCBT--xj4L0g_1QGlkZ83QLA","0","0","2021-02-16T23:44:44Z","2021-02-16T23:44:44Z","UgyOt5q-DoR8kHlAF3F4AaABAg",NA,"tJvCygyNH4I"
"Anybody here from stinkyasher-","Zoe Lovick","https://yt3.ggpht.com/ytc/AAUvwngyV6LQH9h9KISdae-BY9DGfiqBYrGmnW81wcxl=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCOtcVFHxiEJZf6oVhBFM5uw","UCOtcVFHxiEJZf6oVhBFM5uw","0","0","2021-02-16T23:01:44Z","2021-02-16T23:01:44Z","UgxRioXozwRezjaXzBR4AaABAg",NA,"tJvCygyNH4I"
"great job love you guys and babby boy so cute well done pushing yay","lewis borg","https://yt3.ggpht.com/ytc/AAUvwnhxTZkprW4Uy4bO1O9t6Blx0Es6CWVmxTAIJw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCB09gXbL7YPUKs_xTCBlVig","UCB09gXbL7YPUKs_xTCBlVig","0","1","2021-02-16T15:55:13Z","2021-02-16T15:55:13Z","UgxUShON6bru0TZZ6ER4AaABAg",NA,"tJvCygyNH4I"
"Lol","Daniel Izquierdo-leyva","https://yt3.ggpht.com/ytc/AAUvwngsCQKCQ-dE59mhs8YxjTXBrhd8dMEveMa0RW1E=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCF9Y-wZYP1Cw5rUpGCufR9w","UCF9Y-wZYP1Cw5rUpGCufR9w","0","0","2021-02-16T14:30:03Z","2021-02-16T14:30:03Z","UgzJ2fa8o25Xti-nDQF4AaABAg",NA,"tJvCygyNH4I"
"Haha","Daniel Izquierdo-leyva","https://yt3.ggpht.com/ytc/AAUvwngsCQKCQ-dE59mhs8YxjTXBrhd8dMEveMa0RW1E=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCF9Y-wZYP1Cw5rUpGCufR9w","UCF9Y-wZYP1Cw5rUpGCufR9w","0","0","2021-02-16T14:29:57Z","2021-02-16T14:29:57Z","UgzgC3lg0coe3l-ZFU54AaABAg",NA,"tJvCygyNH4I"
"😢😢😢😢😢❤️❤️❤️❤️","Kimberly Cerro","https://yt3.ggpht.com/ytc/AAUvwniAU38TLyvqasZAtaSkRlnnIOV5_Qack-l6nfoi=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC6frpx7xt6q9OmQqv56bOUw","UC6frpx7xt6q9OmQqv56bOUw","0","1","2021-02-15T05:19:27Z","2021-02-15T05:19:27Z","UgxOVm3i9tK2Kr4O9gl4AaABAg",NA,"tJvCygyNH4I"
"LMFAOO , the “ omg.. yay 🙄 “","Aliyah","https://yt3.ggpht.com/ytc/AAUvwni0SibtwQD0wLMPlWM9dtL8LkxxcWKLuhsRMqhL=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCWPpDh3f1Khp9GR5EAf7VzQ","UCWPpDh3f1Khp9GR5EAf7VzQ","0","0","2021-02-14T07:33:49Z","2021-02-14T07:33:49Z","UgwW2Cc0m1QgkX7BsJR4AaABAg",NA,"tJvCygyNH4I"
"She is a strong woman","Keisha Simms","https://yt3.ggpht.com/ytc/AAUvwni3jK5g1n4nfghWBnZOMvK0DOtFqjfoiQbyeA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCeaekh1406AUKHY5LrsQwGQ","UCeaekh1406AUKHY5LrsQwGQ","0","1","2021-02-13T02:34:23Z","2021-02-13T02:34:23Z","Ugy7fNuHEkB8DU9pLY14AaABAg",NA,"tJvCygyNH4I"
"يا الله شعور رائع","Fatima Belarbi","https://yt3.ggpht.com/ytc/AAUvwnj0XICdHS_hLvLRn_28HHPZlhnOdQGa_hbiJQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCH4_2cVo_CFJ-d_B-E5P1GA","UCH4_2cVo_CFJ-d_B-E5P1GA","0","0","2021-02-12T16:26:19Z","2021-02-12T16:26:19Z","Ugz6DHKGIaphFQfzDgN4AaABAg",NA,"tJvCygyNH4I"
"Y'all complain he's making a YouTube video of her birth. They get PAID TO DO IT. They both want to video that. Not only that, but some people like to record the births to remember that moment forever. I know I would. So shut up or don't watch.","Anon Cutie","https://yt3.ggpht.com/ytc/AAUvwngVMUtCp8twz94C6SqKatURUhtKG2--GeHFNg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC6GhDyUv60cMwsq-Kr548gg","UC6GhDyUv60cMwsq-Kr548gg","0","1","2021-02-11T22:27:16Z","2021-02-11T22:27:16Z","UgxpEWHvks9xGxlIoat4AaABAg",NA,"tJvCygyNH4I"
"Would he shut the fuck up he’s acting like he’s pushing the kid out","Lia Nicole Tacon","https://yt3.ggpht.com/ytc/AAUvwnjLCKwUjcrEg49a7pvsLFEA_eX5W78CD7c-Zg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCnP-03kX6_eLhwDjAj11hAg","UCnP-03kX6_eLhwDjAj11hAg","0","1","2021-02-11T16:10:55Z","2021-02-11T16:10:55Z","Ugy5QRZs5OdRaebJLyt4AaABAg",NA,"tJvCygyNH4I"
"❤️","Abigale Thompson","https://yt3.ggpht.com/ytc/AAUvwnjy7O5JZ9-75TdznuJH3i0g-30rMw2wJu9jTw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCQwN1o94cmzsE-s0jNZDohA","UCQwN1o94cmzsE-s0jNZDohA","0","0","2021-02-11T04:09:44Z","2021-02-11T04:09:44Z","Ugz8_NyqSuaIyp4Pem54AaABAg",NA,"tJvCygyNH4I"
"This is how you KNOW they use their kids for clout. Austin is not even being supportive, hes just looking at himself through the camera","erika bonifacio","https://yt3.ggpht.com/ytc/AAUvwnjYqVDNtjqLYOPUyswBzg4sHB6GM7gSb530KGYTfw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCUUmsEgQKIgaBYyC-acKbMA","UCUUmsEgQKIgaBYyC-acKbMA","1","1","2021-02-09T14:57:46Z","2021-02-09T14:57:46Z","UgxL-ZEc4xewZtT3BKF4AaABAg",NA,"tJvCygyNH4I"
"🤗🤗","Ruby Hodge","https://yt3.ggpht.com/ytc/AAUvwni29Uz7dTrJCdTiqA0gMhWKwzWrhQkVodRCHA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC_qjUCWPtDR5UHn0RnTMvyQ","UC_qjUCWPtDR5UHn0RnTMvyQ","0","0","2021-02-09T14:10:14Z","2021-02-09T14:10:14Z","UgzoNWJD9A1kz_JD3p94AaABAg",NA,"tJvCygyNH4I"
"Hello","wilfredo rojas","https://yt3.ggpht.com/ytc/AAUvwngwp1oXKzPndmG2twBIlyVope8zRmNJ8ickSCy1=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC20p4u9e5ljflEefgbp_1fg","UC20p4u9e5ljflEefgbp_1fg","0","0","2021-02-09T07:33:30Z","2021-02-09T07:33:30Z","UgzhPG9uDactabW2PrJ4AaABAg",NA,"tJvCygyNH4I"
"😀😃😄😁😆😅🤣😂😘🤩😍😇😊😉🙃🙂😗☺️😚😙😙😋😋😛😜🤪🤨🤐🤔🤫🤭🤗🤑😝😐😑😶😏😏😒🙄😬🤥😌😔😪🤤😴😷🤒🤕🤢🤮🤧😵🤯🤠😎🤓😲😯😮☹️☹️🙁😟😕🧐😕😟🙁☹️😮😯😲😭😢😥😰😨😧😦😳😱😖😣😞😓😩😫😤😈👿💀🤬😠😡☠️💩😺🤖👾👽👻👺👹🤡😸😹😻😼😽🙀😿😾🙉🙈🙊💋💌💘💝💖❤️💔❣️💟💕💞💓💗🧡💛💚💙💜🖤💯💢👁️‍🗨️💬💣🕳️💨💦💫💥🗨️🗯️💭💤👋🤚🖐️✋👈🤙🤘🤟🤞✌️👌🖖👉👆👇☝️👍👎✊🤝🤲👐🙌👏🤜🤛👊🙏✍️💅🤳💪👂👃🧠👱‍♂️🧑🧒👶👄👅👁️👀👱‍♀️🧔🧓🙍‍♂️🙍‍♀️🙎‍♂️🙎‍♀️🙅‍♂️🙇‍♂️🙋‍♀️🙋‍♂️💁‍♀️💁‍♂️🙆‍♀️🙆‍♂️🙅‍♀️🙇‍♀️👩‍🎓👨‍🏫🤦‍♂️🤦‍♀️👩‍🏫👨‍⚖️🤷‍♂️🤷‍♀️👩‍⚖️👨‍🌾👨‍⚕️👩‍⚕️👩‍🌾👨‍🍳👨‍🎓👩‍🍳👩‍🔬👨‍💻👨‍🔧👩‍🔧👩‍💻👨‍🎤👨‍🏭👩‍🏭👩‍🎤👨‍🎨👨‍💼👩‍💼👩‍🎨👨‍✈️👨‍🔬🕵️‍♀️👩‍✈️👨‍🚀💂‍♂️💂‍♀️👩‍🚀👨‍🚒👷‍♂️👷‍♀️👩‍🚒👮‍♂️🤴👸👮‍♀️🕵️‍♂️👳‍♂️👳‍♀️🎅🤶👲🧕🧙‍♂️🧙‍♀️🤵👰🧚‍♂️🧚‍♀️🤰🤱🧛‍♂️👼🧛‍♀️🧟‍♀️🧟‍♂️🧞‍♀️🧞‍♂️🧝‍♀️🧝‍♂️🧜‍♀️🧜‍♂️💆‍♂️💆‍♀️💇‍♂️💇‍♀️🚶‍♂️🚶‍♀️🏃‍♂️🏃‍♀️💃🕺🧗‍♀️🤺🏇🕴️👯‍♂️⛷️🏂👯‍♀️🧖‍♂️🏌️‍♂️🏌️‍♀️🧖‍♀️🧗‍♂️🏄‍♂️🏋️‍♂️⛹️‍♀️⛹️‍♂️🏊‍♀️🏊‍♂️🚣‍♀️🚣‍♂️🏄‍♀️🏋️‍♀️🚴‍♂️🚴‍♀️🚵‍♂️🚵‍♀️🤸‍♂️🤸‍♀️🤼‍♂️🧘‍♂️🤹‍♀️🤹‍♂️🤾‍♀️🤾‍♂️🤽‍♀️🤽‍♂️🤼‍♀️🧘‍♀️🛀🛌👭👫👬👩‍❤️‍💋‍👨👨‍❤️‍💋‍👨👨‍👩‍👧‍👦👨‍👩‍👧👨‍👩‍👦👨‍👩‍👦👩‍❤️‍👩👨‍❤️‍👨👩‍❤️‍👨👩‍❤️‍💋‍👩👨‍👩‍👦‍👦👨‍👩‍👧‍👧👨‍👨‍👦👨‍👨‍👧👨‍👨‍👧‍👦👨‍👨‍👦‍👦👨‍👨‍👧‍👧👩‍👩‍👦👨‍👧‍👦👨‍👧👨‍👦‍👦👨‍👦👩‍👩‍👧‍👧👩‍👩‍👦‍👦👩‍👩‍👧‍👦👩‍👩‍👧👨‍👧‍👧👩‍👦👩‍👦‍👦👩‍👧👩‍👧‍👦👩‍👧‍👧🗣️👤👣👥","WeirdoMia 2011","https://yt3.ggpht.com/ytc/AAUvwnjwoTbkdnN6Rq9rvjLoOn2gWs0BZ9k4U-q3kuXfjw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC2c78k_HHBxTdaqf66F5lxg","UC2c78k_HHBxTdaqf66F5lxg","0","0","2021-02-08T22:33:18Z","2021-02-08T22:33:18Z","UgwTxRq9MRpaKv0lYXN4AaABAg",NA,"tJvCygyNH4I"
"Awwww so cute ❤️🧡💛💚💙💜💗💕","WeirdoMia 2011","https://yt3.ggpht.com/ytc/AAUvwnjwoTbkdnN6Rq9rvjLoOn2gWs0BZ9k4U-q3kuXfjw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC2c78k_HHBxTdaqf66F5lxg","UC2c78k_HHBxTdaqf66F5lxg","0","0","2021-02-08T22:26:08Z","2021-02-08T22:26:08Z","UgxmVAyy2xLOCisOciR4AaABAg",NA,"tJvCygyNH4I"
"What’s his birth time ?","Asli Cam","https://yt3.ggpht.com/ytc/AAUvwngtgDNnJ_2NUnHZa7zjw7hzpJT8cJLpa1OKlQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCoKds10cPdTiwwBF7HjtZaQ","UCoKds10cPdTiwwBF7HjtZaQ","0","0","2021-02-08T16:38:36Z","2021-02-08T16:38:36Z","UgzKnQwcGJTwssjoDSN4AaABAg",NA,"tJvCygyNH4I"
"I think Austin ran because there was no boy and they named it steel","Naveed Hussain","https://yt3.ggpht.com/ytc/AAUvwniqoXzQtizi72XB_-eM0Qn5CbkM2mO2eD-xGA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCAidu0vTSpqFIdTSLU5lE4A","UCAidu0vTSpqFIdTSLU5lE4A","0","0","2021-02-08T13:19:42Z","2021-02-08T13:19:42Z","UgxGzjfZ43jbLiXYjmF4AaABAg",NA,"tJvCygyNH4I"
"I’ve seen teen dads do a better job helping/encouraging their significant other give birth","Weave megan","https://yt3.ggpht.com/ytc/AAUvwnhBfbp-5UK1aXLikyuXENeVR7M5dxbrPU0uW16B=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCSuQWcYBw18tm0ZsmX7EE8Q","UCSuQWcYBw18tm0ZsmX7EE8Q","6","26","2021-02-08T07:09:31Z","2021-02-08T07:09:31Z","UgyRhj3HLfD1tA1v1WF4AaABAg",NA,"tJvCygyNH4I"
"You guys are blessed","Elayna","https://yt3.ggpht.com/ytc/AAUvwnj0DlNDCMyu7nz6fZ06fZ3CgH7hKBGvPYGNuT5k=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC-WQasiSj6zqnGYARrGFU_g","UC-WQasiSj6zqnGYARrGFU_g","0","0","2021-02-06T23:32:27Z","2021-02-06T23:32:27Z","Ugz5y_3J1dinMfJYNNh4AaABAg",NA,"tJvCygyNH4I"
"🍼🍼🍼🍼☕🍬🍬🍬🐳🐋🐟🍹🍼🍼🍹🐟🐋🐳🍬💙😂🕪🕪🕩🕩🕩🕨🕨🔊🔊🔉🔈🔇📻📱📲🎼🐋🐳🐟🏢🏜🏝🌍🌎🌏🏔🗺🌐🏢🏣🏕🏖🏙🏥🏦🚮🛃🚰♿♿🚹🚣🚤🚤🚤🚭🚭🚭🚳🚣🛄🛄🛃🛃🚽🚾🚻🚴🚵⛔🚬🚱🚱⛌⛍⛐⛒⛓⛕⛗⛖⛙⛙⛜⛝⛞⛓⛕⛖⛘⛜⛞⛠⛡⛶ℹⓂ↩↪🔷🔃🔄ℹⓂ⛺⛲","Belinda Chavez","https://yt3.ggpht.com/ytc/AAUvwnhrDNZtaxMKLKNq9XLXBFeFsFzbbIqDQrgLDg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC9xcWOt4Ieov1jP2yymvzpw","UC9xcWOt4Ieov1jP2yymvzpw","0","1","2021-02-06T16:24:47Z","2021-02-06T16:24:47Z","UgxhBFlXQexamYJfz694AaABAg",NA,"tJvCygyNH4I"
